condition,span,no,id,session,abs_time,time,file_path,block,grid_locations,grid_anss,grid_rts,grid_rt,grid_scores,grid_score,symmetry_image_files,symmetry_symmetrical,symmetry_scores,symmetry_score,symmetry_rts,symmetry_rt,symmetry_running_correctness,no_global
experiment,5,0,3,1,1651059023,2022_04_27_13_30_23,C:\code\projects\hypnoalc\symmetry_span/data/subject_0003/0003_symmetry_span_experiment_block_%s_ses1_2022_04_27_13_30_23.csv,0,"[4, 15, 9, 1, 0]","[11, 1, 12, -2, -2]","[3.326666899999964, 8.001223200000368, 15.303294199999982]",17.50139360000003,"[0, 0, 0, 0, 0]",0,"['symmetries\\symm34.bmp', 'symmetries\\symm33.bmp', 'symmetries\\symm1_mirror.bmp', 'symmetries\\symm20_mirror.bmp', 'symmetries\\symm28.bmp']","[0, 0, 1, 1, 0]","[0, 0, 1, 1, 0]",2,"[1.1337392000000364, 0.6151343000001361, 1.1173929999999928, 1.4982391999997162, 0.8122110999997858]",5.176716799999667,42,0
experiment,2,1,3,1,1651059074,2022_04_27_13_31_14,C:\code\projects\hypnoalc\symmetry_span/data/subject_0003/0003_symmetry_span_experiment_block_%s_ses1_2022_04_27_13_30_23.csv,0,"[1, 7]","[7, -2]",[6.084663599999658],7.363694199999827,"[0, 0]",0,"['symmetries\\symm18_mirror.bmp', 'symmetries\\symm5_mirror.bmp']","[1, 1]","[1, 1]",2,"[1.0724830000003749, 0.6167421000000104]",1.6892251000003853,50,1
experiment,4,2,3,1,1651059098,2022_04_27_13_31_38,C:\code\projects\hypnoalc\symmetry_span/data/subject_0003/0003_symmetry_span_experiment_block_%s_ses1_2022_04_27_13_30_23.csv,0,"[5, 15, 14, 3]","[7, -2, -2, -2]",[5.350225299999693],13.84883869999976,"[0, 0, 0, 0]",0,"['symmetries\\symm11_mirror.bmp', 'symmetries\\symm38.bmp', 'symmetries\\symm8_mirror.bmp', 'symmetries\\symm40.bmp']","[1, 0, 1, 0]","[1, 1, 1, 1]",4,"[0.848642700000255, 1.5956054999996923, 1.4429760999996688, 0.766874899999948]",4.654099199999564,60,2
experiment,3,3,3,1,1651059162,2022_04_27_13_32_42,C:\code\projects\hypnoalc\symmetry_span/data/subject_0003/0003_symmetry_span_experiment_block_%s_ses1_2022_04_27_13_30_23.csv,0,"[12, 2, 10]","[4, 3, -2]","[5.980180699999892, 15.696651099999599]",16.568028400000003,"[0, 0, 0]",0,"['symmetries\\symm36.bmp', 'symmetries\\symm48.bmp', 'symmetries\\symm45.bmp']","[0, 0, 0]","[1, 0, 0]",1,"[1.1810685999998896, 0.5655763999998271, 0.5747628999997687]",2.3214078999994854,56,3
