condition,span,no,id,session,abs_time,time,file_path,block,grid_locations,grid_anss,grid_rts,grid_rt,grid_scores,grid_score,symmetry_image_files,symmetry_symmetrical,symmetry_scores,symmetry_score,symmetry_rts,symmetry_rt,symmetry_running_correctness,no_global
practice,1,0,3,1,1651058809,2022_04_27_13_26_49,C:\code\projects\hypnoalc\symmetry_span/data/subject_0003/0003_symmetry_span_practice_ses1_2022_04_27_13_26_49.csv,-1,[6],[],[],,[],,['symmetries\\pracsymm15.bmp'],[0],[0],0,[2.0380686999997124],2.0380686999997124,0,-2
practice,3,1,3,1,1651058817,2022_04_27_13_26_57,C:\code\projects\hypnoalc\symmetry_span/data/subject_0003/0003_symmetry_span_practice_ses1_2022_04_27_13_26_49.csv,-1,"[8, 13, 4]",[],[],,[],,"['symmetries\\pracsymm7_mirror.bmp', 'symmetries\\pracsymm10.bmp', 'symmetries\\pracsymm6_mirror.bmp']","[1, 0, 1]","[1, 0, 1]",2,"[1.2808484000001954, 0.7996801999997842, 0.9445473000000675]",3.025075900000047,50,-1
